folder,metric,kendall_tau,spearman,pearson
01,lpips,1.0,1.0,0.9480909262799544
01,ms_ssim,0.6666666666666669,0.7999999999999999,0.6162591020819704
01,clip_cosine,1.0,1.0,0.9480909262799544
02,lpips,-0.912870929175277,-0.9486832980505139,-0.8944271909999157
02,ms_ssim,0.5477225575051662,0.632455532033676,0.7453559924999299
02,clip_cosine,-0.912870929175277,-0.9486832980505139,-0.8944271909999157
03,lpips,-0.6666666666666669,-0.7999999999999999,-0.8348096887883162
03,ms_ssim,-0.3333333333333334,-0.39999999999999997,-0.41740484439415815
03,clip_cosine,0.0,-0.19999999999999998,-0.160540324766984
04,lpips,0.6666666666666669,0.7999999999999999,0.6937819061732104
04,ms_ssim,-0.6666666666666669,-0.7999999999999999,-0.6937819061732104
04,clip_cosine,0.6666666666666669,0.7999999999999999,0.6937819061732104
05,lpips,0.912870929175277,0.9486832980505139,0.9486832980505138
05,ms_ssim,-0.912870929175277,-0.9486832980505139,-0.9486832980505138
05,clip_cosine,-0.5477225575051662,-0.632455532033676,-0.6324555320336758
06,lpips,-0.6666666666666669,-0.7999999999999999,-0.8898984166292195
06,ms_ssim,0.3333333333333334,0.39999999999999997,0.25425669046549126
06,clip_cosine,0.3333333333333334,0.6000000000000001,0.6674238124719146
07,lpips,0.3333333333333334,0.39999999999999997,0.3953189298238275
07,ms_ssim,0.0,0.19999999999999998,0.1664500757152957
07,clip_cosine,1.0,1.0,0.9987004542917746
08,lpips,0.3333333333333334,0.39999999999999997,0.5299921883813221
08,ms_ssim,0.3333333333333334,0.6000000000000001,0.5552299116375758
08,clip_cosine,1.0,1.0,0.9590334837376308
09,lpips,-0.3333333333333334,-0.6000000000000001,-0.44074127735352664
09,ms_ssim,0.0,0.19999999999999998,0.5763539780776888
09,clip_cosine,0.6666666666666669,0.7999999999999999,0.8136762043449726
10,lpips,-0.3333333333333334,-0.39999999999999997,-0.16151457061744953
10,ms_ssim,-0.3333333333333334,-0.39999999999999997,-0.26919095102908275
10,clip_cosine,-1.0,-1.0,-0.9690874237046978
11,lpips,0.3333333333333334,0.39999999999999997,0.42426406871192857
11,ms_ssim,0.6666666666666669,0.7999999999999999,0.8485281374238571
11,clip_cosine,0.3333333333333334,0.39999999999999997,0.28284271247461856
12,lpips,0.6666666666666669,0.7999999999999999,0.8366600265340756
12,ms_ssim,0.6666666666666669,0.7999999999999999,0.8366600265340756
12,clip_cosine,1.0,1.0,0.956182887467515
13,lpips,-0.5477225575051662,-0.7378647873726218,-0.6558058407890313
13,ms_ssim,-0.5477225575051662,-0.7378647873726218,-0.6558058407890313
13,clip_cosine,0.18257418583505539,0.316227766016838,0.4276994613841507
14,lpips,0.0,0.19999999999999998,0.17248787237282076
14,ms_ssim,-1.0,-1.0,-0.9774312767793173
14,clip_cosine,0.0,0.19999999999999998,0.05749595745760688
15,lpips,1.0,1.0,0.919145030018058
15,ms_ssim,0.6666666666666669,0.7999999999999999,0.8928837434461134
15,clip_cosine,0.6666666666666669,0.7999999999999999,0.8928837434461134
